iter	Passed	Remaining
396	1761	2676
397	1766	2672
398	1771	2668
399	1777	2665
400	1781	2661
401	1786	2658
402	1790	2653
403	1795	2649
404	1799	2643
405	1804	2640
406	1808	2635
407	1813	2630
408	1818	2628
409	1823	2623
410	1829	2622
411	1836	2620
412	1840	2615
413	1844	2610
414	1848	2606
415	1854	2603
416	1862	2604
417	1869	2602
418	1875	2600
419	1882	2599
420	1896	2607
421	1916	2624
422	1926	2627
423	1933	2626
424	1939	2623
425	1948	2624
426	1953	2621
427	1957	2616
428	1962	2611
429	1967	2607
430	1973	2605
431	1980	2604
432	1985	2600
433	1991	2596
434	1997	2593
435	2005	2593
436	2013	2593
437	2019	2591
438	2025	2588
439	2030	2584
440	2036	2581
441	2040	2576
442	2045	2571
443	2049	2567
444	2054	2562
445	2061	2560
446	2068	2558
447	2074	2555
448	2080	2552
449	2085	2548
450	2091	2545
451	2097	2542
452	2102	2538
453	2113	2542
454	2123	2543
455	2135	2547
456	2142	2545
457	2152	2547
458	2173	2562
459	2182	2561
460	2189	2560
461	2196	2558
462	2204	2556
463	2227	2572
464	2231	2567
465	2254	2583
466	2278	2600
467	2297	2611
468	2314	2620
469	2322	2618
470	2335	2622
471	2347	2625
472	2355	2624
473	2362	2621
474	2370	2619
475	2375	2615
476	2381	2611
477	2387	2607
478	2393	2603
479	2398	2598
480	2403	2593
481	2412	2592
482	2418	2589
483	2424	2585
484	2441	2592
485	2447	2588
486	2452	2583
487	2457	2578
488	2464	2575
489	2470	2571
490	2474	2565
491	2479	2560
492	2486	2557
493	2494	2555
494	2500	2551
495	2505	2546
496	2510	2540
497	2515	2535
498	2523	2533
499	2528	2528
500	2539	2529
501	2551	2531
502	2560	2530
503	2573	2532
504	2582	2531
505	2592	2530
506	2599	2527
507	2604	2522
508	2610	2518
509	2617	2514
510	2623	2510
511	2633	2510
512	2640	2506
513	2647	2503
514	2652	2498
515	2660	2495
516	2666	2491
517	2671	2486
518	2678	2482
519	2685	2478
520	2690	2474
521	2698	2470
522	2703	2466
523	2709	2460
524	2714	2455
525	2719	2450
526	2725	2446
527	2731	2441
528	2738	2438
529	2744	2433
530	2750	2429
531	2755	2424
532	2771	2428
533	2780	2426
534	2786	2422
535	2792	2417
536	2799	2413
537	2804	2407
538	2810	2403
539	2815	2398
540	2820	2392
541	2824	2386
542	2829	2381
543	2833	2374
544	2836	2368
545	2842	2363
546	2846	2357
547	2862	2361
548	2874	2361
549	2882	2358
550	2888	2354
551	2903	2356
552	2922	2361
553	2933	2361
554	2948	2364
555	2954	2359
556	2959	2353
557	2964	2348
558	2969	2342
559	2974	2337
560	2979	2331
561	2986	2327
562	2991	2322
563	2997	2317
564	3002	2311
565	3006	2305
566	3011	2299
567	3026	2301
568	3031	2296
569	3036	2290
570	3041	2285
571	3046	2279
572	3051	2273
573	3056	2268
574	3063	2264
575	3068	2258
576	3072	2252
577	3080	2249
578	3087	2244
579	3091	2238
580	3098	2234
581	3103	2229
582	3108	2223
583	3124	2225
584	3139	2227
585	3156	2230
586	3176	2234
587	3185	2232
588	3213	2242
589	3227	2242
590	3244	2245
591	3258	2245
592	3276	2248
593	3289	2248
594	3294	2242
595	3299	2236
596	3304	2230
597	3309	2224
598	3315	2219
599	3320	2213
600	3326	2208
601	3330	2202
602	3336	2196
603	3343	2191
604	3347	2185
605	3352	2179
606	3359	2175
607	3367	2171
608	3381	2170
609	3393	2169
610	3404	2167
611	3411	2162
612	3418	2158
613	3424	2152
614	3430	2147
615	3435	2141
616	3443	2137
617	3449	2131
618	3454	2126
619	3461	2121
620	3466	2115
621	3471	2109
622	3479	2105
623	3486	2100
624	3491	2095
625	3500	2091
626	3513	2090
627	3528	2089
628	3538	2087
629	3552	2086
630	3579	2093
631	3600	2096
632	3624	2101
633	3633	2097
634	3636	2090
635	3640	2083
636	3644	2076
637	3647	2069
638	3654	2064
639	3660	2059
640	3665	2052
641	3670	2046
642	3675	2040
643	3680	2034
644	3684	2028
645	3689	2021
646	3694	2015
647	3699	2009
648	3704	2003
649	3710	1997
650	3715	1991
651	3721	1986
652	3730	1982
653	3736	1976
654	3741	1970
655	3746	1964
656	3752	1959
657	3757	1953
658	3761	1946
659	3766	1940
660	3775	1936
661	3785	1932
662	3797	1930
663	3810	1928
664	3821	1925
665	3830	1921
666	3845	1919
667	3860	1918
668	3872	1915
669	3882	1912
670	3895	1910
671	3908	1907
672	3923	1906
673	3943	1907
674	3956	1904
675	3969	1902
676	3983	1900
677	4002	1900
678	4021	1901
679	4030	1896
680	4039	1892
681	4047	1887
682	4056	1882
683	4065	1878
684	4073	1873
685	4082	1868
686	4090	1863
687	4099	1859
688	4110	1855
689	4124	1853
690	4132	1847
691	4137	1841
692	4144	1835
693	4149	1829
694	4154	1823
695	4161	1817
696	4171	1813
697	4178	1807
698	4183	1801
699	4191	1796
700	4196	1790
701	4201	1783
702	4208	1777
703	4218	1773
704	4226	1768
705	4234	1763
706	4244	1759
707	4249	1752
708	4260	1748
709	4267	1743
710	4276	1738
711	4283	1732
712	4293	1728
713	4305	1724
714	4311	1718
715	4317	1712
716	4326	1707
717	4336	1703
718	4342	1697
719	4350	1691
720	4356	1685
721	4364	1680
722	4373	1675
723	4379	1669
724	4387	1664
725	4392	1657
726	4398	1651
727	4406	1646
728	4412	1640
729	4417	1633
730	4424	1628
731	4430	1622
732	4434	1615
733	4441	1609
734	4446	1603
735	4451	1596
736	4456	1590
737	4460	1583
738	4464	1576
739	4470	1570
740	4473	1563
741	4479	1557
742	4486	1551
743	4499	1548
744	4504	1541
745	4510	1535
746	4519	1530
747	4524	1524
748	4528	1517
749	4534	1511
750	4540	1505
751	4547	1499
752	4555	1494
753	4560	1487
754	4565	1481
755	4571	1475
756	4579	1470
757	4584	1463
758	4590	1457
759	4599	1452
760	4607	1447
761	4612	1440
762	4618	1434
763	4624	1428
764	4631	1422
765	4636	1416
766	4642	1410
767	4646	1403
768	4651	1397
769	4656	1391
770	4665	1385
771	4672	1379
772	4681	1374
773	4690	1369
774	4699	1364
775	4707	1358
776	4714	1353
777	4726	1348
778	4732	1342
779	4737	1336
780	4741	1329
781	4745	1323
782	4752	1317
783	4758	1310
784	4765	1305
785	4770	1298
786	4777	1293
787	4784	1287
788	4792	1281
789	4798	1275
790	4804	1269
791	4815	1264
792	4821	1258
793	4827	1252
794	4834	1246
795	4841	1240
796	4848	1234
797	4852	1228
798	4856	1221
799	4861	1215
800	4867	1209
801	4872	1202
802	4877	1196
803	4883	1190
804	4889	1184
805	4895	1178
806	4901	1172
807	4910	1166
808	4915	1160
809	4919	1153
810	4924	1147
811	4929	1141
812	4934	1135
813	4940	1128
814	4946	1122
815	4951	1116
816	4958	1110
817	4964	1104
818	4974	1099
819	4985	1094
820	4990	1087
821	4996	1081
822	5003	1076
823	5009	1069
824	5014	1063
825	5020	1057
826	5025	1051
827	5030	1044
828	5035	1038
829	5040	1032
830	5046	1026
831	5053	1020
832	5063	1015
833	5069	1009
834	5075	1002
835	5080	996
836	5084	990
837	5089	983
838	5094	977
839	5100	971
840	5105	965
841	5109	958
842	5114	952
843	5119	946
844	5124	940
845	5129	933
846	5134	927
847	5139	921
848	5145	915
849	5150	908
850	5155	902
851	5159	896
852	5163	889
853	5168	883
854	5173	877
855	5178	871
856	5184	865
857	5189	858
858	5193	852
859	5197	846
860	5200	839
861	5204	833
862	5208	826
863	5212	820
864	5216	814
865	5220	807
866	5224	801
867	5229	795
868	5233	788
869	5237	782
870	5246	776
871	5252	771
872	5257	764
873	5262	758
874	5269	752
875	5274	746
876	5279	740
877	5284	734
878	5288	728
879	5292	721
880	5297	715
881	5301	709
882	5306	703
883	5311	696
884	5316	690
885	5320	684
886	5324	678
887	5330	672
888	5334	666
889	5337	659
890	5341	653
891	5346	647
892	5351	641
893	5355	634
894	5364	629
895	5368	623
896	5374	617
897	5379	611
898	5384	604
899	5388	598
900	5393	592
901	5397	586
902	5402	580
903	5407	574
904	5412	568
905	5416	561
906	5419	555
907	5423	549
908	5427	543
909	5435	537
910	5441	531
911	5447	525
912	5452	519
913	5458	513
914	5463	507
915	5468	501
916	5473	495
917	5480	489
918	5486	483
919	5490	477
920	5496	471
921	5500	465
922	5504	459
923	5514	453
924	5525	447
925	5541	442
926	5552	437
927	5560	431
928	5568	425
929	5577	419
930	5583	413
931	5589	407
932	5595	401
933	5604	396
934	5611	390
935	5623	384
936	5631	378
937	5638	372
938	5643	366
939	5648	360
940	5654	354
941	5666	348
942	5675	343
943	5693	337
944	5710	332
945	5725	326
946	5739	321
947	5753	315
948	5769	310
949	5782	304
950	5797	298
951	5809	292
952	5824	287
953	5843	281
954	5849	275
955	5873	270
956	5892	264
957	5911	259
958	5917	252
959	5923	246
960	5930	240
961	5935	234
962	5941	228
963	5947	222
964	5955	215
965	5961	209
966	5966	203
967	5976	197
968	5982	191
969	5988	185
970	5995	179
971	6001	172
972	6012	166
973	6027	160
974	6043	154
975	6053	148
976	6062	142
977	6074	136
978	6082	130
979	6102	124
980	6116	118
981	6135	112
982	6143	106
983	6161	100
984	6165	93
985	6170	87
986	6175	81
987	6179	75
988	6184	68
989	6188	62
990	6192	56
991	6196	49
992	6201	43
993	6205	37
994	6210	31
995	6213	24
996	6217	18
997	6221	12
998	6225	6
999	6231	0
