iter	RMSE
351	29582.74329
352	29547.27761
353	29520.30251
354	29463.54148
355	29378.02289
356	29333.16489
357	29305.20136
358	29217.10259
359	29186.86685
360	29122.22632
361	29090.37598
362	29083.14501
363	29033.71177
364	29028.96648
365	28991.7162
366	28947.54475
367	28892.12298
368	28845.97573
369	28810.79105
370	28772.40396
371	28748.00374
372	28688.06256
373	28647.6532
374	28635.08515
375	28608.23505
376	28546.62285
377	28519.74425
378	28471.46051
379	28452.11738
380	28414.5239
381	28379.37093
382	28350.30903
383	28320.16766
384	28295.4048
385	28276.7709
386	28253.38994
387	28207.19343
388	28166.13024
389	28159.20271
390	28131.53766
391	28113.66942
392	28096.66066
393	28032.315
394	28014.42211
395	27989.0359
396	27965.36374
397	27917.57779
398	27897.32154
399	27894.61571
400	27850.9995
401	27814.87946
402	27791.23189
403	27742.29533
404	27720.51112
405	27694.90793
406	27680.89676
407	27636.50462
408	27584.82712
409	27500.19879
410	27470.87923
411	27445.4058
412	27371.78619
413	27333.78061
414	27305.70163
415	27277.59809
416	27200.69401
417	27178.44922
418	27153.20387
419	27133.5038
420	27099.52928
421	27061.51933
422	27043.75109
423	27013.02588
424	26989.57047
425	26959.25279
426	26929.42332
427	26898.5694
428	26876.29652
429	26841.7633
430	26819.14641
431	26794.07118
432	26781.57982
433	26756.32861
434	26725.43609
435	26700.07021
436	26677.27541
437	26674.62246
438	26644.2359
439	26618.19935
440	26599.49394
441	26591.38332
442	26571.73914
443	26549.74126
444	26520.86207
445	26508.19423
446	26480.74603
447	26421.98098
448	26401.78284
449	26370.74121
450	26344.8329
451	26321.99928
452	26317.49128
453	26299.84454
454	26274.45823
455	26240.31492
456	26201.82276
457	26199.42037
458	26162.50956
459	26136.40539
460	26115.42348
461	26098.24347
462	26074.96218
463	26073.43299
464	26038.44661
465	26022.5479
466	25999.61116
467	25980.57867
468	25955.54102
469	25933.2453
470	25931.62582
471	25916.62842
472	25891.14288
473	25889.72978
474	25888.43234
475	25876.22578
476	25875.21601
477	25853.57312
478	25822.00065
479	25809.06193
480	25789.31624
481	25760.68448
482	25759.72515
483	25740.77658
484	25709.17278
485	25691.36886
486	25678.75526
487	25658.63531
488	25637.61445
489	25636.70633
490	25621.74586
491	25600.28385
492	25580.32433
493	25556.27639
494	25533.11952
495	25518.04162
496	25493.85722
497	25473.82477
498	25420.20864
499	25394.71601
500	25380.97835
501	25351.42886
502	25336.98838
503	25311.55726
504	25293.91799
505	25269.31333
506	25256.60426
507	25238.50819
508	25198.11154
509	25161.33477
510	25160.30713
511	25144.92846
512	25123.55537
513	25108.35581
514	25090.91397
515	25068.91551
516	25055.13344
517	25022.92759
518	25007.99909
519	24984.69388
520	24983.47013
521	24967.86667
522	24951.4631
523	24937.32915
524	24936.58886
525	24925.86356
526	24904.0313
527	24880.18254
528	24868.59074
529	24846.3955
530	24845.29061
531	24823.4801
532	24775.5181
533	24741.8615
534	24726.33838
535	24702.094
536	24701.54414
537	24686.63597
538	24674.47466
539	24642.99967
540	24621.69919
541	24596.7687
542	24583.73063
543	24566.71342
544	24549.75987
545	24527.39401
546	24516.16478
547	24514.00615
548	24488.53188
549	24471.17989
550	24459.29478
551	24429.63373
552	24421.29479
553	24400.4192
554	24359.87787
555	24344.26807
556	24320.26025
557	24318.87678
558	24301.24621
559	24283.96881
560	24250.54424
561	24238.84584
562	24211.30414
563	24196.10669
564	24195.19735
565	24161.59973
566	24148.04987
567	24124.78715
568	24095.95455
569	24076.17855
570	24059.63875
571	24058.87861
572	24050.33525
573	24027.60303
574	24009.45862
575	23983.82514
576	23983.34695
577	23975.61388
578	23948.17842
579	23920.43059
580	23910.70391
581	23890.73043
582	23874.66366
583	23856.35995
584	23844.15678
585	23810.77877
586	23783.97377
587	23757.69378
588	23755.03401
589	23738.5857
590	23704.13836
591	23683.18319
592	23673.36219
593	23650.2538
594	23628.98789
595	23628.32209
596	23603.94323
597	23580.33249
598	23565.61221
599	23541.23624
600	23526.25794
601	23488.02807
602	23469.05657
603	23442.72357
604	23423.36616
605	23392.18423
606	23370.18711
607	23356.19783
608	23327.80981
609	23308.59394
610	23306.52973
611	23290.71398
612	23279.86469
613	23264.36262
614	23252.19768
615	23234.23473
616	23223.61159
617	23207.18079
618	23181.45237
619	23154.51807
620	23127.92378
621	23079.73575
622	23056.61036
623	23033.83424
624	23010.79296
625	22992.92376
626	22984.06698
627	22974.60391
628	22944.55167
629	22911.31301
630	22863.49885
631	22845.58123
632	22823.65837
633	22811.38639
634	22792.17118
635	22773.52026
636	22757.86165
637	22738.24404
638	22737.5545
639	22718.94139
640	22700.06015
641	22676.32476
642	22655.05186
643	22642.93548
644	22630.61236
645	22610.967
646	22601.01025
647	22589.00728
648	22587.93768
649	22571.78974
650	22557.01643
651	22548.36542
652	22541.56915
653	22534.12848
654	22533.72369
655	22520.0466
656	22510.56798
657	22495.39342
658	22468.60826
659	22448.1887
660	22422.16333
661	22390.04654
662	22381.08528
663	22364.00935
664	22353.18027
665	22331.6706
666	22321.70078
667	22279.16218
668	22268.48341
669	22251.51539
670	22228.44456
671	22218.43502
672	22202.8167
673	22194.62047
674	22177.57165
675	22168.19251
676	22147.00583
677	22132.44393
678	22117.54624
679	22104.4136
680	22092.16811
681	22091.77952
682	22085.75963
683	22072.87218
684	22072.502
685	22055.85704
686	22051.06213
687	22031.91931
688	22018.09583
689	22011.7724
690	21996.30871
691	21986.73618
692	21977.51043
693	21963.99644
694	21921.08489
695	21906.16004
696	21890.03424
697	21881.35509
698	21880.83372
699	21872.70485
700	21840.79328
701	21821.77807
702	21821.43998
703	21807.21927
704	21796.99419
705	21782.6202
706	21766.24122
707	21758.70639
708	21737.07951
709	21715.7874
710	21699.04258
711	21671.28444
712	21659.1016
713	21645.6941
714	21643.48782
715	21631.46453
716	21621.38871
717	21609.30013
718	21604.08764
719	21589.71167
720	21577.86734
721	21560.9741
722	21557.0151
723	21550.63421
724	21534.98557
725	21524.37104
726	21496.63792
727	21489.93295
728	21452.4519
729	21442.90848
730	21431.66405
731	21419.78646
732	21419.46762
733	21397.15339
734	21383.28593
735	21368.02757
736	21354.4844
737	21344.91726
738	21333.51711
739	21323.26606
740	21320.35812
741	21309.91634
742	21305.20629
743	21296.42395
744	21263.53739
745	21245.84653
746	21229.06262
747	21212.95781
748	21200.49808
749	21188.77943
750	21175.52193
751	21147.0511
752	21134.11179
753	21114.63258
754	21099.86022
755	21083.67231
756	21079.86254
757	21068.81518
758	21051.96922
759	21040.1604
760	21036.19484
761	21016.56598
762	20999.84177
763	20989.0448
764	20977.41288
765	20955.84805
766	20949.29893
767	20932.71467
768	20917.85322
769	20891.95118
770	20881.32716
771	20855.40478
772	20844.03211
773	20838.13716
774	20831.96508
775	20818.85455
776	20806.03837
777	20792.85435
778	20775.20731
779	20765.06811
780	20756.56903
781	20743.17146
782	20721.6317
783	20720.25699
784	20711.69239
785	20685.42398
786	20663.78942
787	20652.03996
788	20641.20905
789	20630.33229
790	20618.55381
791	20615.22938
792	20605.80288
793	20596.45156
794	20594.25681
795	20581.97881
796	20576.97149
797	20571.58663
798	20562.42759
799	20543.13845
800	20525.31656
801	20508.4805
802	20506.47948
803	20499.47547
804	20490.82801
805	20477.83271
806	20467.97338
807	20454.51481
808	20442.16938
809	20425.76468
810	20409.45554
811	20398.41215
812	20395.63151
813	20382.93488
814	20371.40193
815	20351.83681
816	20329.60527
817	20323.90837
818	20319.57735
819	20314.69422
820	20309.25312
821	20297.48063
822	20287.8358
823	20279.16699
824	20261.9935
825	20247.59332
826	20232.84908
827	20222.90649
828	20213.7681
829	20200.30449
830	20196.55608
831	20186.57723
832	20176.43385
833	20166.97172
834	20152.79882
835	20142.18719
836	20121.79216
837	20106.35185
838	20095.32885
839	20076.57157
840	20067.8341
841	20056.31003
842	20040.75125
843	20022.65102
844	20017.47692
845	20000.42816
846	19999.18902
847	19987.74972
848	19980.56129
849	19970.41374
850	19964.92577
851	19962.19874
852	19957.29713
853	19947.75027
854	19935.06148
855	19933.0739
856	19917.75555
857	19904.16427
858	19895.46731
859	19885.39052
860	19870.35595
861	19859.70585
862	19851.08486
863	19827.86641
864	19819.4653
865	19802.10203
866	19788.7786
867	19775.24902
868	19764.36522
869	19750.70552
870	19746.46338
871	19745.44608
872	19727.80961
873	19720.8189
874	19718.40139
875	19714.82441
876	19712.91783
877	19712.44731
878	19702.24493
879	19702.00552
880	19687.35734
881	19681.75817
882	19673.83504
883	19662.06248
884	19660.34147
885	19646.04404
886	19629.82537
887	19622.79953
888	19613.234
889	19602.62695
890	19589.02561
891	19583.95656
892	19576.26248
893	19575.8081
894	19563.19792
895	19556.29026
896	19554.58749
897	19544.78901
898	19540.53712
899	19527.54837
900	19515.21684
901	19506.7617
902	19500.96768
903	19488.02955
904	19481.55376
905	19468.25537
906	19461.82856
907	19448.05222
908	19439.15115
909	19429.35733
910	19419.4222
911	19410.37134
912	19405.83844
913	19396.14786
914	19395.37343
915	19388.12812
916	19378.51667
917	19369.43229
918	19357.848
919	19347.49094
920	19336.8033
921	19336.5871
922	19329.64674
923	19320.30766
924	19310.85053
925	19299.99902
926	19294.483
927	19291.62722
928	19286.62586
929	19282.33888
930	19276.13662
931	19263.06797
932	19254.96745
933	19238.59557
934	19222.43926
935	19210.8874
936	19195.25138
937	19186.2202
938	19172.375
939	19172.16546
940	19168.80972
941	19160.49647
942	19156.68776
943	19147.00505
944	19140.65305
945	19135.12551
946	19125.45785
947	19111.74811
948	19103.88956
949	19093.02179
950	19089.2479
951	19088.87208
952	19081.26006
953	19069.77211
954	19052.79682
955	19045.67485
956	19039.99326
957	19035.64629
958	19026.5995
959	19020.01051
960	19013.04864
961	18996.72377
962	18984.5782
963	18979.79201
964	18971.56319
965	18957.20362
966	18946.16411
967	18941.34007
968	18930.87288
969	18924.66552
970	18917.50547
971	18906.05966
972	18895.67915
973	18880.88931
974	18873.59854
975	18870.12655
976	18859.32144
977	18848.52407
978	18844.21791
979	18834.24772
980	18830.45611
981	18820.37407
982	18806.51755
983	18798.67011
984	18791.32986
985	18787.22612
986	18779.87343
987	18759.497
988	18753.17183
989	18746.03242
990	18734.28554
991	18725.39208
992	18708.28211
993	18694.37426
994	18686.1715
995	18672.53983
996	18654.62123
997	18639.26836
998	18630.751
999	18621.73443
